Time - V_0	Amplitude - V_0	Time - V_L	Amplitude - V_L	Time - V_C	Amplitude - V_C	Time - V_R	Amplitude - V_R
0	2,25793	0	4,5346	0	-2,44062	0	0,879388
6,65E-06	2,46449	6,65E-06	3,52887	6,65E-06	-2,34008	6,65E-06	1,66179
1,33E-05	2,44999	1,33E-05	2,69167	1,33E-05	-2,17993	1,33E-05	2,24956
2,00E-05	2,43903	2,00E-05	1,97952	2,00E-05	-1,97692	2,00E-05	2,68394
2,66E-05	2,43227	2,66E-05	1,37564	2,66E-05	-1,7433	2,66E-05	2,99104
3,33E-05	2,42453	3,33E-05	0,869721	3,33E-05	-1,48938	3,33E-05	3,19115
3,99E-05	2,42067	3,99E-05	0,450166	3,99E-05	-1,22418	3,99E-05	3,2991
4,66E-05	2,41841	4,66E-05	0,113427	4,66E-05	-0,953178	4,66E-05	3,3294
5,32E-05	2,4197	5,32E-05	-0,155642	5,32E-05	-0,6825	5,32E-05	3,29491
5,99E-05	2,42131	5,99E-05	-0,355429	5,99E-05	-0,417299	5,99E-05	3,20501
6,65E-05	2,42518	6,65E-05	-0,500113	6,65E-05	-0,160153	6,65E-05	3,0745
7,32E-05	2,42743	7,32E-05	-0,596462	7,32E-05	0,0834585	7,32E-05	2,91821
7,98E-05	2,4342	7,98E-05	-0,660265	7,98E-05	0,314181	7,98E-05	2,74645
8,65E-05	2,44065	8,65E-05	-0,698289	8,65E-05	0,530725	8,65E-05	2,56664
9,31E-05	2,44548	9,31E-05	-0,714723	9,31E-05	0,731802	9,31E-05	2,38458
9,98E-05	2,45128	9,98E-05	-0,713434	9,98E-05	0,916768	9,98E-05	2,20412
0,000106	2,45418	0,000106	-0,704089	0,000106	1,08723	0,000106	2,02689
0,000113	2,45966	0,000113	-0,685077	0,000113	1,24255	0,000113	1,85674
0,00012	2,46771	0,00012	-0,660587	0,00012	1,38434	0,00012	1,69433
0,000126	2,47255	0,000126	-0,629975	0,000126	1,51323	0,000126	1,5403
0,000133	2,47513	0,000133	-0,592918	0,000133	1,63021	0,000133	1,39529
0,00014	2,47835	0,00014	-0,557149	0,00014	1,73461	0,00014	1,26028
0,000146	2,48318	0,000146	-0,517836	0,000146	1,82806	0,000146	1,13428
0,000153	2,48802	0,000153	-0,480457	0,000153	1,91281	0,000153	1,01795
0,00016	2,49188	0,00016	-0,440822	0,00016	1,98725	0,00016	0,910001
0,000166	2,49543	0,000166	-0,404731	0,000166	2,05395	0,000166	0,810429
0,000173	2,49704	0,000173	-0,367996	0,000173	2,11293	0,000173	0,720846
0,00018	2,49897	0,00018	-0,330939	0,00018	2,16416	0,00018	0,638353
